sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV)
11,12319,LD2,2100,750,9.8892787175,0.0004416286767445523
11,12321,LD2,2100,750,9.889070303440858,0.0003490474656101332
11,12322,LD2,2100,750,9.889136407192117,0.00034701641273049573
11,12323,LD2,2100,750,9.889332633614458,0.00033687661862637474
11,12333,LD2,2100,750,9.888885786517132,0.00022531323796381138
11,12337,LD2,2100,750,9.888971431404336,0.0003070718342661311
11,12338,LD2,2100,750,9.889103086358972,0.00018184210823337778
11,12339,LD2,2100,750,9.88912923165488,0.00027915668127839
11,12341,LD2,2100,750,9.889151923838027,0.0005444361485241443
11,12342,LD2,2100,750,9.889125745559845,0.00017741238439212376
11,12343,LD2,2100,750,9.889221085807126,0.0002739550887332646
11,12344,LD2,2100,750,9.889260338967214,0.000189868215277002
11,12346,LD2,2100,750,9.889342796089158,0.00021307767354907477
11,12347,LD2,2100,750,9.88926974583461,0.0001503879587460393
11,12348,LD2,2100,750,9.889219186385677,0.00023939117147290436
11,12349,LD2,2100,750,9.88921424763975,0.00015360983089637126
11,12356,LD2,2100,750,9.888937963580355,0.00029142424970578993
11,12357,LD2,2100,750,9.889217091325966,0.00019264532602791568
11,12359,LD2,2100,750,9.889236618284883,0.00021186162621355918
11,12360,LD2,2100,750,9.889193708026431,0.0002739217939111554
11,12362,LD2,2100,750,9.889131824050631,0.00024276425237859407
11,12364,LD2,2100,750,9.889067126057109,0.00018505152198951738
11,12366,LD2,2100,750,9.889148113420074,0.0002653370614870805
11,12371,LD2,2100,750,9.889217748613138,4.572225621633755e-05
11,12372,LD2,2100,750,9.889077885918367,0.00022137740401642506
11,12373,LD2,2100,750,9.889086544716006,0.00018830306038909947
11,12374,LD2,2100,750,9.889094026666665,0.00014266590318819388
11,12375,LD2,2100,750,9.889095651893491,0.00014062259089080799
11,12376,LD2,2100,750,9.889140496297786,0.00016802827457585017
11,12377,LD2,2100,750,9.889193513194707,0.0001403098269697006
11,12378,LD2,2100,750,9.889233407777777,0.0001340146974126353
11,12379,LD2,2100,750,9.889177699335393,0.0001598300763023248
11,12383,LD2,2100,750,9.888956323669872,0.0002001343996589463
11,12384,LD2,2100,750,9.88883204321495,0.00019919717751207567
11,12385,LD2,2100,750,9.888854078749999,0.00017799248458240879
11,12387,LD2,2100,750,9.889125595337518,0.00021277248833448257
11,12388,LD2,2100,750,9.88917136224652,0.00019755916196297416
11,12394,LD2,2100,750,9.889151656601381,0.00021341534674278707
11,12395,LD2,2100,750,9.889044702956763,0.0002045098290871493
11,12396,LD2,2100,750,9.88907959652733,0.00013882380542234988
11,12403,LD2,2100,750,9.88868056655532,0.0002816508794712267
11,12404,LD2,2100,750,9.888758997722341,0.00025331211830853105
11,12405,LD2,2100,750,9.88880137552783,0.00023840206255660966
11,12406,LD2,2100,750,9.888859689610193,0.00029183026404089584
11,12407,LD2,2100,750,9.888643877348242,0.0002638856471219434
11,12408,LD2,2100,750,9.888643953705973,0.00028108580023602267
11,12409,LD2,2100,750,9.88867221231884,0.0003051500508925277
11,12410,LD2,2100,750,9.88910380967071,0.0001219858118356661
11,12411,LD2,2100,750,9.88922862904,6.06472730299625e-05
11,12412,LD2,2100,750,9.889101661197769,0.00016878789720207367
11,12416,LD2,2100,750,9.889038379999999,9.263054803451519e-05
11,12423,LD2,2100,750,9.88890990481818,0.00026042382624691656
11,12424,LD2,2100,750,9.888757745392489,0.00021087510914816025
11,12425,LD2,2100,750,9.888775012188612,0.0002273917229125443
11,12473,LD2,2100,750,9.888953088260072,0.0003373641891576589
11,12474,LD2,2100,750,9.888927752305936,0.0002072891642849435
11,12478,LD2,2100,750,9.88896869610829,0.00021669796083801138
11,12479,LD2,2100,750,9.888844816753926,0.00022979702606973639
11,12480,LD2,2100,750,9.888730205717172,0.00019828452532180669
11,12481,LD2,2100,750,9.888972804801444,0.0002598256076322365
11,12482,LD2,2100,750,9.889125784285712,0.000160199153062249
11,12485,LD2,2100,750,9.88893489116451,0.00037022726296075294
11,12486,LD2,2100,750,9.88894071050943,0.0003918237167417722
11,12498,LD2,2100,750,9.889149274602648,0.00029313117103623836
11,12499,LD2,2100,750,9.88905433160183,0.00014524344366193627
11,12500,LD2,2100,750,9.888994229252335,0.00011899489532988409
11,12501,LD2,2100,750,9.889058439999998,0.0002848855490803023
11,12502,LD2,2100,750,9.888978053040292,0.00014430905839876119
11,12512,LD2,2100,750,9.889032686278194,0.0001568334871851093
11,12513,LD2,2100,750,9.889035136096654,0.00015530795145266729
11,12514,LD2,2100,750,9.889037972125692,0.0001609697853856732
11,12515,LD2,2100,750,9.889037280821915,0.00018727389312560996
11,12516,LD2,2100,750,9.88911384111111,0.00016204573285451618
11,12517,LD2,2100,750,9.8889782,0.0
11,12521,LD2,2100,750,9.889064414323483,0.0002142205478092523
11,12523,LD2,2100,750,9.888968432565443,0.0003167064711110915
11,12527,LD2,2100,750,9.88911408890351,0.00017471265120869736
11,12532,LD2,2100,750,9.889062935427926,0.0001943065691743862
11,12534,LD2,2100,750,9.888997369891774,0.00017574250503020038
11,12535,LD2,2100,750,9.88909388385135,0.00017087419459353308
11,12536,LD2,2100,750,9.889094692390742,0.00017819983758502137
11,12537,LD2,2100,750,9.889084370092164,0.00015899449998867758
11,12538,LD2,2100,750,9.88915446980198,0.0001420394371994576
11,12539,LD2,2100,750,9.88902093944196,0.0001437514176395391
11,12541,LD2,2100,750,9.889009563971772,0.00023476987776863316
11,12542,LD2,2100,750,9.889127786585364,0.00017732611441530078
11,12543,LD2,2100,750,9.889127096681413,0.00015783342197749078
11,12544,LD2,2100,750,9.889186157429464,8.718652285237762e-05
11,12547,LD2,2100,750,9.889121667790052,0.0001401466860822145
11,12549,LD2,2100,750,9.888966029209485,0.00021429049448042867
11,12550,LD2,2100,750,9.888938499436366,0.00023910305462866737
11,12551,LD2,2100,750,9.888853688970295,0.00023823805668302686
11,12552,LD2,2100,750,9.888820902797494,0.0001917007170364942
11,12553,LD2,2100,750,9.88887197480427,0.00021230432251712018
11,12554,LD2,2100,750,9.888920975267858,0.00021321641089661598
11,12556,LD2,2100,750,9.88846919703896,0.00017160089962614796
11,12558,LD2,2100,750,9.888617569104476,0.0002389805844047308
11,12559,LD2,2100,750,9.888660963257575,0.00021575451497453689
11,12565,LD2,2100,750,9.888701084302552,0.00019407141404426177
11,12566,LD2,2100,750,9.888623023455343,0.00039409127572031795
11,12567,LD2,2100,750,9.888334727313167,0.00034647088550106736
11,12568,LD2,2100,750,9.888322795611886,0.0004015597488579181
11,12569,LD2,2100,750,9.88854305505338,0.0002381296483518902
11,12570,LD2,2100,750,9.8884730125,0.00025016320326998436
11,12571,LD2,2100,750,9.888696521127272,0.00028771684681995794
11,12572,LD2,2100,750,9.888849636830123,0.0002144831854533157
11,12574,LD2,2100,750,9.888794353007244,0.00030576224622765486
11,12577,LD2,2100,750,9.888664223851851,0.00041228436166652714
11,12580,LD2,2100,750,9.888739123429055,0.00021404350309043237
11,12581,LD2,2100,750,9.888912829272238,0.00028376332009810696
11,12582,LD2,2100,750,9.888885885842388,0.0003062556713327268
11,12583,LD2,2100,750,9.888573790399999,0.0002805671871195306
11,12584,LD2,2100,750,9.888746859724954,0.00021651833596688646
11,12585,LD2,2100,750,9.888702676654136,0.00025420385358605095
11,12586,LD2,2100,750,9.888550467257767,0.00029069929789340396
11,12589,LD2,2100,750,9.888661825664844,0.00026626329556383755
11,12590,LD2,2100,750,9.888933304952152,0.00031430439341323505
