runnum,evnum,HALLA_p
11989,321831,7907.4
11989,321993,7907.46
11989,323085,7907.46
11989,325675,7906.38
11989,328358,7906.38
11989,330946,7906.38
11989,333484,7907.62
11989,336161,7907.62
11989,338967,7907.55
11989,341653,7907.55
11989,344270,7907.47
11989,346799,7907.47
11989,349476,7907.47
11989,352161,7907.46
11989,354710,7907.46
11989,357549,7907.63
11989,360227,7907.63
11989,362895,7907.35
11989,365577,7907.35
11989,368181,7907.87
11989,370884,7907.87
11989,373560,7907.87
11989,376090,7907.53
11989,378759,7907.53
11989,381488,7907.64
11989,384177,7907.64
11989,386872,7907.4
11989,389430,7907.4
11989,391980,7907.4
11989,392908,7907.57
11990,11244,7907.41
11990,16232,7907.41
11990,21361,7907.41
11990,25444,7907.57
11990,25660,7907.57
11990,25804,7907.39
11990,28118,7907.39
11990,32186,7906.38
11990,36939,7906.38
11990,41782,7907.18
11990,46629,7907.18
11990,51632,7907.18
11990,56534,7907.6
11990,61622,7907.6
11990,66463,7907.45
11990,71619,7907.45
11990,76577,7907.61
11990,81718,7907.61
11990,86681,7907.61
11990,91830,7907.52
11990,96843,7907.52
11990,101689,7907.58
11990,106575,7907.58
11990,111437,7907.48
11990,116260,7907.48
11990,121160,7907.59
11990,126004,7907.59
11990,131141,7907.45
11990,135941,7907.45
11990,140762,7907.45
11990,145565,7907.51
11990,150487,7907.51
11990,155468,7907.47
11990,160297,7907.47
11990,165284,7907.43
11990,166160,7907.43
11990,166369,7907.43
11990,166521,7906.38
11990,170027,7906.38
11990,174756,7906.38
11990,179593,7906.38
11990,184473,7906.57
11990,189345,7906.57
11990,194284,7907.7
11990,199163,7907.7
11990,204057,7907.7
11990,209180,7907.64
11990,214174,7907.64
11990,218886,7907.5
11990,223987,7907.5
11990,228848,7907.57
11990,233882,7907.57
11990,238874,7907.59
11990,243876,7907.59
11990,248862,7907.59
11990,253855,7907.63
11990,258835,7907.63
11990,263665,7907.52
11990,268576,7907.52
11990,273523,7907.53
11990,278385,7907.53
11990,283419,7907.57
11990,288294,7907.57
11990,293397,7907.57
11990,298537,7907.58
11990,303509,7907.58
11990,308390,7907.47
11990,313357,7907.47
11990,318245,7907.54
11990,323058,7907.54
11990,328018,7907.62
11990,332931,7907.62
11990,336416,7907.62
11990,336485,7907.3
11990,336662,7907.3
11990,336835,7906.38
11990,337328,7906.38
11990,341763,7906.38
11990,346661,7906.38
11990,351508,7906.55
11990,356478,7906.55
11990,361473,7906.55
11990,366461,7907.69
11990,371247,7907.69
11990,376085,7907.22
11990,381002,7907.22
11990,385933,7907.63
11990,390908,7907.63
11990,396005,7907.63
11990,401075,7907.43
11990,406171,7907.43
11990,411012,7907.54
11990,415737,7907.54
11990,420738,7907.43
11990,424891,7907.43
11990,425022,7907.33
11990,425209,7907.33
11990,425373,7907.33
11990,425514,7906.38
11990,425701,7906.38
11990,425866,7906.38
11990,426025,7906.38
11990,426591,7906.38
11990,430565,7906.38
11990,435265,7908.21
11990,440178,7908.21
11990,444751,7908.21
11990,449646,7907.06
11990,454472,7907.06
11990,459265,7907.41
11990,464220,7907.41
11990,469211,7907.44
11990,474188,7907.44
11990,479168,7907.32
11990,484315,7907.32
11990,489450,7907.32
11990,494405,7907.39
11990,499437,7907.39
11990,504286,7907.3
11990,509160,7907.3
11990,514116,7907.54
11990,519270,7907.54
11990,524229,7907.54
11990,529346,7907.36
11990,534376,7907.36
11990,539482,7907.57
11990,544482,7907.57
11990,549183,7907.35
11990,554079,7907.35
11990,559034,7907.39
11990,564054,7907.39
11990,569058,7907.39
11990,573664,7907.58
11990,578708,7907.58
11990,583486,7907.64
11990,588235,7907.64
11990,593257,7907.38
11990,598211,7907.38
11990,603200,7907.43
11990,608329,7907.43
11990,613351,7907.43
11990,618440,7907.2
11990,623594,7907.2
11990,628924,7907.5
11990,633927,7907.5
11990,639303,7907.43
11990,644451,7907.43
11990,649410,7907.45
11990,649410,7907.45
11991,28399,7907.5
11991,40442,7907.58
11991,52454,7907.58
11991,64365,7907.55
11991,76651,7907.55
11991,88945,7907.52
11991,100971,7907.52
11991,113402,7907.52
11991,125810,7907.58
11991,138214,7907.58
11991,150359,7907.37
11991,162117,7907.37
11991,174437,7907.44
11991,186404,7907.44
11991,198629,7907.59
11991,210810,7907.59
11991,222699,7907.59
11991,234974,7907.62
11991,247246,7907.62
11991,259832,7907.51
11991,271713,7907.51
11991,283857,7907.51
11991,295904,7907.51
11991,308192,7907.45
11991,320192,7907.45
11991,332409,7907.45
11991,344179,7907.49
11991,356043,7907.49
11991,368139,7907.45
11991,380653,7907.45
11991,392546,7907.45
11991,404571,7907.45
11991,416844,7907.46
11991,428945,7907.46
11991,440787,7907.46
11991,452982,7907.59
